Energy_keV,Signal_counts,Background_counts,Total_counts,Total_norm
0.1953125,1,0,1,0.00011181930001118193
0.5859375,0,0,0,0.0
0.9765625,0,0,0,0.0
1.3671875,1,0,1,0.00011181930001118193
1.7578125,0,0,0,0.0
2.1484375,0,0,0,0.0
2.5390625,1,0,1,0.00011181930001118193
2.9296875,0,0,0,0.0
3.3203125,0,0,0,0.0
3.7109375,0,0,0,0.0
4.1015625,0,0,0,0.0
4.4921875,0,0,0,0.0
4.8828125,0,0,0,0.0
5.2734375,1,0,1,0.00011181930001118193
5.6640625,0,0,0,0.0
6.0546875,1,0,1,0.00011181930001118193
6.4453125,0,0,0,0.0
6.8359375,0,0,0,0.0
7.2265625,0,0,0,0.0
7.6171875,0,0,0,0.0
8.0078125,1,0,1,0.00011181930001118193
8.3984375,1,0,1,0.00011181930001118193
8.7890625,0,0,0,0.0
9.1796875,2,0,2,0.00022363860002236387
9.5703125,0,0,0,0.0
9.9609375,0,0,0,0.0
10.3515625,2,0,2,0.00022363860002236387
10.7421875,0,0,0,0.0
11.1328125,0,0,0,0.0
11.5234375,1,0,1,0.00011181930001118193
11.9140625,1,0,1,0.00011181930001118193
12.3046875,1,0,1,0.00011181930001118193
12.6953125,3,0,3,0.0003354579000335458
13.0859375,0,0,0,0.0
13.4765625,1,0,1,0.00011181930001118193
13.8671875,0,0,0,0.0
14.2578125,0,0,0,0.0
14.6484375,0,0,0,0.0
15.0390625,0,0,0,0.0
15.4296875,0,0,0,0.0
15.8203125,1,0,1,0.00011181930001118193
16.2109375,0,0,0,0.0
16.6015625,0,0,0,0.0
16.9921875,0,0,0,0.0
17.3828125,0,0,0,0.0
17.7734375,1,0,1,0.00011181930001118193
18.1640625,2,0,2,0.00022363860002236387
18.5546875,0,0,0,0.0
18.9453125,2,0,2,0.00022363860002236387
19.3359375,0,0,0,0.0
19.7265625,2,0,2,0.00022363860002236387
20.1171875,2,4,6,0.0006709158000670916
20.5078125,3,2,5,0.0005590965000559097
20.8984375,4,1,5,0.0005590965000559097
21.2890625,4,0,4,0.00044727720004472774
21.6796875,1,0,1,0.00011181930001118193
22.0703125,6,3,9,0.0010063737001006373
22.4609375,7,0,7,0.0007827351000782735
22.8515625,6,1,7,0.0007827351000782735
23.2421875,7,1,8,0.0008945544000894555
23.6328125,13,3,16,0.001789108800178911
24.0234375,12,1,13,0.001453650900145365
24.4140625,13,1,14,0.001565470200156547
24.8046875,12,3,15,0.0016772895001677288
25.1953125,10,3,13,0.001453650900145365
25.5859375,10,2,12,0.0013418316001341832
25.9765625,10,1,11,0.0012300123001230013
