# Isotope Spectrum Builder - bin metadata
# detector=NaI
# isotope=Cs-137
# n_bins=2048
# e_min_keV=0.0
# e_max_keV=2520.0
# normalization=raw
# acquisition_time_s=
# base_seed=42
# builder=Created by Dr K. Karafasoulis
# url=http://karafasoulis.eu
bin_index,e_low_keV,e_high_keV,e_center_keV,bin_width_keV
0,0.0,1.23046875,0.615234375,1.23046875
1,1.23046875,2.4609375,1.845703125,1.23046875
2,2.4609375,3.69140625,3.076171875,1.23046875
3,3.69140625,4.921875,4.306640625,1.23046875
4,4.921875,6.15234375,5.537109375,1.23046875
5,6.15234375,7.3828125,6.767578125,1.23046875
6,7.3828125,8.61328125,7.998046875,1.23046875
7,8.61328125,9.84375,9.228515625,1.23046875
8,9.84375,11.07421875,10.458984375,1.23046875
9,11.07421875,12.3046875,11.689453125,1.23046875
10,12.3046875,13.53515625,12.919921875,1.23046875
11,13.53515625,14.765625,14.150390625,1.23046875
12,14.765625,15.99609375,15.380859375,1.23046875
13,15.99609375,17.2265625,16.611328125,1.23046875
14,17.2265625,18.45703125,17.841796875,1.23046875
15,18.45703125,19.6875,19.072265625,1.23046875
16,19.6875,20.91796875,20.302734375,1.23046875
17,20.91796875,22.1484375,21.533203125,1.23046875
18,22.1484375,23.37890625,22.763671875,1.23046875
19,23.37890625,24.609375,23.994140625,1.23046875
20,24.609375,25.83984375,25.224609375,1.23046875
21,25.83984375,27.0703125,26.455078125,1.23046875
22,27.0703125,28.30078125,27.685546875,1.23046875
23,28.30078125,29.53125,28.916015625,1.23046875
24,29.53125,30.76171875,30.146484375,1.23046875
25,30.76171875,31.9921875,31.376953125,1.23046875
26,31.9921875,33.22265625,32.607421875,1.23046875
27,33.22265625,34.453125,33.837890625,1.23046875
28,34.453125,35.68359375,35.068359375,1.23046875
29,35.68359375,36.9140625,36.298828125,1.23046875
30,36.9140625,38.14453125,37.529296875,1.23046875
31,38.14453125,39.375,38.759765625,1.23046875
32,39.375,40.60546875,39.990234375,1.23046875
33,40.60546875,41.8359375,41.220703125,1.23046875
34,41.8359375,43.06640625,42.451171875,1.23046875
35,43.06640625,44.296875,43.681640625,1.23046875
36,44.296875,45.52734375,44.912109375,1.23046875
37,45.52734375,46.7578125,46.142578125,1.23046875
38,46.7578125,47.98828125,47.373046875,1.23046875
39,47.98828125,49.21875,48.603515625,1.23046875
40,49.21875,50.44921875,49.833984375,1.23046875
41,50.44921875,51.6796875,51.064453125,1.23046875
42,51.6796875,52.91015625,52.294921875,1.23046875
43,52.91015625,54.140625,53.525390625,1.23046875
44,54.140625,55.37109375,54.755859375,1.23046875
45,55.37109375,56.6015625,55.986328125,1.23046875
46,56.6015625,57.83203125,57.216796875,1.23046875
47,57.83203125,59.0625,58.447265625,1.23046875
48,59.0625,60.29296875,59.677734375,1.23046875
49,60.29296875,61.5234375,60.908203125,1.23046875
50,61.5234375,62.75390625,62.138671875,1.23046875
51,62.75390625,63.984375,63.369140625,1.23046875
52,63.984375,65.21484375,64.599609375,1.23046875
53,65.21484375,66.4453125,65.830078125,1.23046875
54,66.4453125,67.67578125,67.060546875,1.23046875
55,67.67578125,68.90625,68.291015625,1.23046875
