Energy_keV,Signal_counts,Background_counts,Total_counts,Total_norm
0.732421875,11,0,11,11.0
2.197265625,23,0,23,23.0
3.662109375,27,0,27,27.0
5.126953125,25,0,25,25.0
6.591796875,25,0,25,25.0
8.056640625,16,0,16,16.0
9.521484375,21,0,21,21.0
10.986328125,17,0,17,17.0
12.451171875,26,0,26,26.0
13.916015625,23,0,23,23.0
15.380859375,23,0,23,23.0
16.845703125,17,3,20,20.0
18.310546875,26,12,38,38.0
19.775390625,22,17,39,39.0
21.240234375,33,12,45,45.0
22.705078125,20,20,40,40.0
24.169921875,17,28,45,45.0
25.634765625,27,32,59,59.0
27.099609375,19,28,47,47.0
28.564453125,20,33,53,53.0
30.029296875,34,24,58,58.0
31.494140625,28,28,56,56.0
32.958984375,30,35,65,65.0
34.423828125,23,32,55,55.0
35.888671875,24,36,60,60.0
37.353515625,36,37,73,73.0
38.818359375,28,39,67,67.0
40.283203125,27,39,66,66.0
41.748046875,29,37,66,66.0
43.212890625,17,57,74,74.0
44.677734375,18,49,67,67.0
46.142578125,25,47,72,72.0
47.607421875,36,47,83,83.0
49.072265625,29,56,85,85.0
50.537109375,17,53,70,70.0
52.001953125,37,63,100,100.0
53.466796875,28,73,101,101.0
54.931640625,20,62,82,82.0
56.396484375,10,82,92,92.0
57.861328125,32,80,112,112.0
59.326171875,22,92,114,114.0
60.791015625,28,83,111,111.0
62.255859375,23,85,108,108.0
63.720703125,25,94,119,119.0
65.185546875,17,90,107,107.0
66.650390625,27,95,122,122.0
68.115234375,23,96,119,119.0
69.580078125,19,115,134,134.0
71.044921875,23,111,134,134.0
72.509765625,25,123,148,148.0
73.974609375,23,117,140,140.0
75.439453125,19,148,167,167.0
76.904296875,23,146,169,169.0
78.369140625,14,140,154,154.0
79.833984375,20,135,155,155.0
81.298828125,20,119,139,139.0
82.763671875,28,130,158,158.0
84.228515625,28,115,143,143.0
85.693359375,23,136,159,159.0
87.158203125,22,138,160,160.0
88.623046875,24,159,183,183.0
90.087890625,22,154,176,176.0
91.552734375,19,120,139,139.0
93.017578125,28,114,142,142.0
94.482421875,26,162,188,188.0
95.947265625,27,141,168,168.0
97.412109375,22,112,134,134.0
98.876953125,24,114,138,138.0
100.341796875,33,139,172,172.0
101.806640625,28,124,152,152.0
103.271484375,23,130,153,153.0
104.736328125,21,116,137,137.0
106.201171875,29,128,157,157.0
107.666015625,29,130,159,159.0
109.130859375,25,150,175,175.0
110.595703125,15,124,139,139.0
112.060546875,16,116,132,132.0
113.525390625,22,108,130,130.0
114.990234375,16,127,143,143.0
116.455078125,26,133,159,159.0
117.919921875,18,129,147,147.0
119.384765625,18,135,153,153.0
120.849609375,24,114,138,138.0
122.314453125,29,126,155,155.0
123.779296875,27,130,157,157.0
125.244140625,25,111,136,136.0
126.708984375,26,96,122,122.0
128.173828125,25,137,162,162.0
129.638671875,19,123,142,142.0
131.103515625,31,92,123,123.0
132.568359375,20,100,120,120.0
134.033203125,20,105,125,125.0
135.498046875,26,89,115,115.0
136.962890625,24,110,134,134.0
138.427734375,20,120,140,140.0
139.892578125,19,116,135,135.0
141.357421875,32,97,129,129.0
142.822265625,15,114,129,129.0
144.287109375,24,97,121,121.0
145.751953125,29,94,123,123.0
147.216796875,22,92,114,114.0
148.681640625,26,82,108,108.0
150.146484375,29,106,135,135.0
151.611328125,26,93,119,119.0
153.076171875,27,103,130,130.0
154.541015625,22,115,137,137.0
156.005859375,29,75,104,104.0
157.470703125,26,98,124,124.0
158.935546875,33,93,126,126.0
160.400390625,29,87,116,116.0
161.865234375,24,97,121,121.0
163.330078125,21,89,110,110.0
164.794921875,12,84,96,96.0
166.259765625,24,89,113,113.0
167.724609375,23,86,109,109.0
169.189453125,38,74,112,112.0
170.654296875,25,72,97,97.0
172.119140625,32,92,124,124.0
173.583984375,17,75,92,92.0
175.048828125,18,79,97,97.0
176.513671875,27,69,96,96.0
177.978515625,31,69,100,100.0
179.443359375,33,57,90,90.0
180.908203125,32,68,100,100.0
182.373046875,38,81,119,119.0
183.837890625,29,60,89,89.0
185.302734375,24,54,78,78.0
186.767578125,27,72,99,99.0
188.232421875,16,81,97,97.0
189.697265625,27,68,95,95.0
191.162109375,44,99,143,143.0
192.626953125,30,66,96,96.0
194.091796875,18,68,86,86.0
195.556640625,36,74,110,110.0
197.021484375,29,73,102,102.0
198.486328125,33,57,90,90.0
199.951171875,28,70,98,98.0
201.416015625,20,55,75,75.0
202.880859375,28,52,80,80.0
204.345703125,27,55,82,82.0
