Isotope,Event,Energy
Bgr,0,57.3312
Bgr,1,70.9401
Bgr,2,94.5137
Bgr,3,39.7977
Bgr,4,211.865
Bgr,5,187.357
Bgr,6,276.116
Bgr,7,240.27
Bgr,8,590.707
Bgr,9,83.6748
Bgr,10,73.092
Bgr,11,470.807
Bgr,12,185.365
Bgr,13,84.3377
Bgr,14,50.3385
Bgr,15,417.856
Bgr,16,137.436
Bgr,17,62.883
Bgr,18,156.794
Bgr,19,459.527
Bgr,20,165.485
Bgr,21,97.4111
Bgr,22,190.825
Bgr,23,90.1682
Bgr,24,138.315
Bgr,25,126.289
Bgr,26,120.101
Bgr,27,110.413
Bgr,28,70.7337
Bgr,29,45.8524
Bgr,30,86.7916
Bgr,31,103.996
Bgr,32,71.6634
Bgr,33,151.561
Bgr,34,291.54
Bgr,35,77.161
Bgr,36,1386.66
Bgr,37,149.495
Bgr,38,13.7515
Bgr,39,122.609
Bgr,40,126.487
Bgr,41,72.8419
Bgr,42,718.557
Bgr,43,217.693
Bgr,44,194.297
Bgr,45,144.982
Bgr,46,330.952
Bgr,47,136.751
Bgr,48,112.225
Bgr,49,89.1251
Bgr,50,96.7824
Bgr,51,137.069
Bgr,52,280.483
Bgr,53,171.67
Bgr,54,325.858
Bgr,55,268.562
Bgr,56,78.2592
Bgr,57,32.6282
Bgr,58,82.1076
Bgr,59,145.539
Bgr,60,158.574
Bgr,61,79.4718
Bgr,62,231.399
Bgr,63,121.44
Bgr,64,114.828
Bgr,65,90.5816
Bgr,66,85.9574
Bgr,67,108.521
Bgr,68,275.693
Bgr,69,98.642
Bgr,70,132.767
Bgr,71,135.587
Bgr,72,20.2973
Bgr,73,71.4098
Bgr,74,81.6174
Bgr,75,189.498
Bgr,76,58.9429
Bgr,77,171.632
Bgr,78,57.0107
Bgr,79,56.7707
Bgr,80,269.803
Bgr,81,197.275
Bgr,82,52.3846
Bgr,83,125.861
Bgr,84,120.717
Bgr,85,283.53
Bgr,86,106.983
Bgr,87,113.394
Bgr,88,350.942
Bgr,89,120.819
Bgr,90,95.0382
Bgr,91,82.3313
Bgr,92,292.212
Bgr,93,83.9001
Bgr,94,49.2759
Bgr,95,244.687
Bgr,96,92.3946
Bgr,97,289.859
Bgr,98,108.945
Bgr,99,180.459
Bgr,100,78.0168
Bgr,101,202.86
Bgr,102,155.559
Bgr,103,684.655
Bgr,104,101.531
Bgr,105,139.074
Bgr,106,163.265
Bgr,107,114.056
Bgr,108,76.7461
Bgr,109,266.589
Bgr,110,64.0126
Bgr,111,234.584
Bgr,112,145.308
Bgr,113,28.7008
Bgr,114,71.2928
Bgr,115,103.966
Bgr,116,107.68
Bgr,117,236.401
Bgr,118,86.9407
Bgr,119,138.539
Bgr,120,192.571
Bgr,121,86.3923
Bgr,122,70.684
Bgr,123,156.696
Bgr,124,84.0658
Bgr,125,133.251
Bgr,126,125.898
Bgr,127,292.179
Bgr,128,116.898
Bgr,129,82.3504
Bgr,130,427.838
Bgr,131,144.566
Bgr,132,93.4802
Bgr,133,201.089
Bgr,134,113.406
Bgr,135,143.85
Bgr,136,180.255
Bgr,137,90.175
Bgr,138,185.446
Bgr,139,104.412
Bgr,140,72.977
Bgr,141,85.6058
Bgr,142,204.875
Bgr,143,70.6416
Bgr,144,1023.89
Bgr,145,179.619
Bgr,146,73.8683
Bgr,147,70.8068
Bgr,148,81.971
Bgr,149,200.408
Bgr,150,95.4952
Bgr,151,59.5199
Bgr,152,125.993
Bgr,153,100.6
Bgr,154,108.139
Bgr,155,84.9357
Bgr,156,350.552
Bgr,157,200.301
Bgr,158,86.3425
Bgr,159,279.979
Bgr,160,104.703
Bgr,161,64.4719
Bgr,162,278.179
Bgr,163,114.42
Bgr,164,544.294
Bgr,165,110.51
Bgr,166,80.834
Bgr,167,205.778
Bgr,168,93.0637
Bgr,169,202.463
Bgr,170,77.9364
Bgr,171,60.7987
Bgr,172,105.57
Bgr,173,136.858
Bgr,174,77.608
Bgr,175,85.206
Bgr,176,79.7686
Bgr,177,184.948
Bgr,178,144.566
Bgr,179,204.803
Bgr,180,55.9933
Bgr,181,37.7739
