Isotope,Event,Energy
Bgr,0,266.937
Bgr,1,59.3054
Bgr,2,1670.95
Bgr,3,843.176
Bgr,4,1353.62
Bgr,5,308.713
Bgr,6,381.394
Bgr,7,446.43
Bgr,8,774.113
Bgr,9,214.184
Bgr,10,388.754
Bgr,11,218.188
Bgr,12,313.485
Bgr,13,1634.81
Bgr,14,67.7894
Bgr,15,125.595
Bgr,16,1114.71
Bgr,17,188.12
Bgr,18,784.468
Bgr,19,134.512
Bgr,20,192.23
Bgr,21,155.684
Bgr,22,201.178
Bgr,23,269.582
Bgr,24,281.609
Bgr,25,13.7966
Bgr,26,304.315
Bgr,27,423.426
Bgr,28,420.139
Bgr,29,418.241
Bgr,30,784.764
Bgr,31,463.995
Bgr,32,82.5654
Bgr,33,147.126
Bgr,34,638.391
Bgr,35,107.209
Bgr,36,247.933
Bgr,37,187.63
Bgr,38,245.144
Bgr,39,162.869
Bgr,40,201.05
Bgr,41,613.842
Bgr,42,923.802
Bgr,43,998.059
Bgr,44,545.608
Bgr,45,924.233
Bgr,46,128.237
Bgr,47,478.211
Bgr,48,94.4382
Bgr,49,1039.3
Bgr,50,540.869
Bgr,51,20.3511
Bgr,52,395.228
Bgr,53,1063.22
Bgr,54,608.788
Bgr,55,12.404
Bgr,56,1891.13
Bgr,57,677.131
Bgr,58,12.5197
Bgr,59,228.847
Bgr,60,132.457
Bgr,61,384.099
Bgr,62,164.25
Bgr,63,454.617
Bgr,64,942.238
Bgr,65,128.892
Bgr,66,1460.99
Bgr,67,241.507
Bgr,68,77.2148
Bgr,69,154.575
Bgr,70,577.398
Bgr,71,298.096
Bgr,72,413.548
Bgr,73,1715.82
Bgr,74,192.956
Bgr,75,761.709
Bgr,76,302.556
Bgr,77,105.005
Bgr,78,21.9098
Bgr,79,38.0075
Bgr,80,211.61
Bgr,81,247.018
Bgr,82,1733.83
Bgr,83,309.344
Bgr,84,29.0101
Bgr,85,1011.06
Bgr,86,288.064
Bgr,87,717.999
Bgr,88,1223.91
Bgr,89,24.5129
Bgr,90,113.536
Bgr,91,203.093
Bgr,92,313.807
Bgr,93,138.43
Bgr,94,85.1612
Bgr,95,78.1046
Bgr,96,677.542
Bgr,97,686.902
Bgr,98,353.224
Bgr,99,807.936
Bgr,100,266.299
Bgr,101,391.853
Bgr,102,200.315
Bgr,103,76.5102
Bgr,104,30.8689
Bgr,105,586.142
