Isotope,Event,Energy
Bgr,0,126.112
Bgr,1,141.476
Bgr,2,1409.91
Bgr,3,142.461
Bgr,4,207.575
Bgr,5,59.0002
Bgr,6,135.43
Bgr,7,456.267
Bgr,8,305.15
Bgr,9,167.186
Bgr,10,154.808
Bgr,11,250.572
Bgr,12,500.173
Bgr,13,358.168
Bgr,14,398.161
Bgr,15,100.051
Bgr,16,92.5158
Bgr,17,77.7878
Bgr,18,139.198
Bgr,19,207.19
Bgr,20,104.754
Bgr,21,1441.08
Bgr,22,929.379
Bgr,23,114.415
Bgr,24,108.407
Bgr,25,66.7701
Bgr,26,347.76
Bgr,27,403.372
Bgr,28,685.944
Bgr,29,21.1526
Bgr,30,2420.5
Bgr,31,223.749
Bgr,32,54.0324
Bgr,33,174.654
Bgr,34,241.031
Bgr,35,634.759
Bgr,36,234.587
Bgr,37,481.616
Bgr,38,149.568
Bgr,39,88.1039
Bgr,40,155.584
Bgr,41,111.581
Bgr,42,94.5562
Bgr,43,563.069
Bgr,44,75.5246
Bgr,45,2136.34
Bgr,46,108.48
Bgr,47,972.596
Bgr,48,270.985
Bgr,49,147.989
Bgr,50,119.182
Bgr,51,199.499
Bgr,52,73.1407
Bgr,53,89.2763
Bgr,54,189.568
Bgr,55,122.615
Bgr,56,171.127
Bgr,57,916.3
Bgr,58,85.5489
Bgr,59,504.899
Bgr,60,80.4901
Bgr,61,199.438
Bgr,62,353.157
Bgr,63,258.863
Bgr,64,90.8001
Bgr,65,199.431
Bgr,66,82.8285
Bgr,67,200.416
Bgr,68,586.23
Bgr,69,79.891
Bgr,70,53.2101
Bgr,71,86.3032
Bgr,72,121.337
Bgr,73,169.87
Bgr,74,1950.39
Bgr,75,129.64
Bgr,76,113.507
Bgr,77,598.019
Bgr,78,160.277
Bgr,79,454.63
Bgr,80,208.407
Bgr,81,236.261
Bgr,82,116.34
Bgr,83,65.3168
Bgr,84,228.457
Bgr,85,72.7021
Bgr,86,103.279
Bgr,87,413.279
Bgr,88,1118.81
Bgr,89,129.628
Bgr,90,367.204
Bgr,91,236.054
Bgr,92,428.502
Bgr,93,144.936
Bgr,94,377.791
Bgr,95,302.618
Bgr,96,72.3602
Bgr,97,247.422
Bgr,98,83.4901
Bgr,99,608.016
Bgr,100,107.316
Bgr,101,858.584
Bgr,102,232.945
Bgr,103,636.572
Bgr,104,119.273
Bgr,105,124.296
Bgr,106,287.845
Bgr,107,263.681
Bgr,108,251.162
Bgr,109,62.9517
Bgr,110,211.898
Bgr,111,165.753
Bgr,112,150.25
Bgr,113,63.4129
Bgr,114,285.07
Bgr,115,125.761
Bgr,116,97.3138
Bgr,117,511.827
Bgr,118,125.562
Bgr,119,85.2411
Bgr,120,370.193
Bgr,121,311.268
Bgr,122,194.16
Bgr,123,1086.78
Bgr,124,153.855
Bgr,125,182.637
Bgr,126,98.7721
Bgr,127,385.591
Bgr,128,57.4945
Bgr,129,98.9999
Bgr,130,217.156
Bgr,131,389.423
Bgr,132,982.176
Bgr,133,276.462
Bgr,134,53.6503
Bgr,135,187.687
Bgr,136,154.163
Bgr,137,52.0908
Bgr,138,21.5978
Bgr,139,330.019
Bgr,140,286.975
Bgr,141,1305.85
Bgr,142,68.8329
Bgr,143,49.8217
Bgr,144,50.8383
Bgr,145,38.1472
Bgr,146,603.739
Bgr,147,881.338
Bgr,148,877.301
Bgr,149,76.5577
Bgr,150,147.7
Bgr,151,465.26
Bgr,152,391.037
Bgr,153,104.558
Bgr,154,154.476
Bgr,155,86.1018
Bgr,156,239.675
Bgr,157,179.627
Bgr,158,402.342
Bgr,159,761.909
Bgr,160,454.704
Bgr,161,689.194
Bgr,162,94.1287
Bgr,163,270.287
Bgr,164,126.709
Bgr,165,86.1445
Bgr,166,206.332
Bgr,167,174.367
Bgr,168,96.9324
Bgr,169,80.8403
Bgr,170,281.996
Bgr,171,584.716
Bgr,172,2398.92
Bgr,173,171.636
Bgr,174,902.901
Bgr,175,2076.78
Bgr,176,117.139
Bgr,177,259.701
Bgr,178,131.679
Bgr,179,106.189
Bgr,180,265.419
Bgr,181,40.7728
Bgr,182,236.422
Bgr,183,115.142
Bgr,184,158.682
